Cube ID,Timestamp,Temperature Layer A,Temperature Layer B,Humidity Layer A,Humidity Layer B,Door
1924,2000-01-01 00:00:00,25.002968249336455,19.698717919051777,46.5548577726114,42.47796502254681,0
1894,2000-01-01 01:00:00,26.149738391591818,23.073634376039887,78.01273159672678,81.20056618271742,1
1011,2000-01-01 02:00:00,20.523260360240187,18.463343386493932,39.41101020955027,25.43278101114243,0
1111,2000-01-01 03:00:00,17.617681715629622,19.17522263371581,47.94199781904629,24.87599388156309,0
1024,2000-01-01 04:00:00,18.08004646055515,16.52045184179301,44.07795397328138,44.20303243441809,0
1052,2000-01-01 05:00:00,17.929552164741803,19.456987721172887,40.892771747146206,22.439776158253018,0
1156,2000-01-01 06:00:00,21.50584461835622,26.57239962132134,76.39947463488193,69.03046264201086,1
1749,2000-01-01 07:00:00,28.215539511063593,29.982254420193804,63.523947039616125,75.58448892309775,1
1054,2000-01-01 08:00:00,25.85190595206127,19.816550062930816,40.97386314375801,52.502844752584956,0
1555,2000-01-01 09:00:00,23.040071430123742,24.22654678181361,51.98559273040007,78.81574915810982,1
1201,2000-01-01 10:00:00,22.990612704429715,22.182605138107544,57.54446296181219,26.946642480516925,0
1975,2000-01-01 11:00:00,19.345478664553802,22.613934977350844,51.286146305756475,49.26733667707954,0
1355,2000-01-01 12:00:00,13.883778727259564,17.12091926258061,36.21565146477647,40.04517302500752,0
1221,2000-01-01 13:00:00,25.379846540822324,28.81664633719333,71.06908078941673,68.43501551577646,1
1409,2000-01-01 14:00:00,12.473275727166824,16.06096409934885,36.19014722388924,33.84741556193196,0
1941,2000-01-01 15:00:00,24.222721030898054,26.120391841133273,65.94990780093806,66.62433351985725,1
1480,2000-01-01 16:00:00,25.71333812212736,30.55265493134594,66.0024054144991,70.42527826547196,1
1485,2000-01-01 17:00:00,20.14971531013566,18.791496672320427,62.090106470647314,37.84268998125056,0
1214,2000-01-01 18:00:00,20.402816723516196,21.37179370134619,42.16851301857889,42.009548040402684,0
1854,2000-01-01 19:00:00,26.11036220609402,24.796916697077396,72.955964204486,75.68088468211243,1
1542,2000-01-01 20:00:00,24.84562017103525,16.13524327719893,51.64403878440194,32.01167753457428,0
1162,2000-01-01 21:00:00,15.313270808608497,20.4639756251297,37.3268054362256,45.01450687734029,0
1290,2000-01-01 22:00:00,22.031523537235113,23.38201633600777,71.09530383655107,65.49659555088547,1
1318,2000-01-01 23:00:00,27.27236470057604,20.65078433093525,70.08990920512322,80.745611736765,1
1939,2000-01-02 00:00:00,22.014358372018755,26.86579808844924,71.1186260311106,82.2450033305673,1
1792,2000-01-02 01:00:00,24.218789628147093,25.118343485334496,66.48683998404043,75.5516294895002,1
1819,2000-01-02 02:00:00,16.299804302765686,21.186357834123605,45.93157526234939,47.80947566114679,0
1292,2000-01-02 03:00:00,17.405495622502105,20.24552907267524,36.699450400570115,51.555445520800625,0
1123,2000-01-02 04:00:00,18.448635213452622,19.343166736002626,42.53326091135238,33.69652100839847,0
1645,2000-01-02 05:00:00,24.521826625135372,22.750498777755826,41.86356872078687,38.2770988351102,0
1909,2000-01-02 06:00:00,16.79429382819375,25.676238186222243,32.69924294108175,46.35722173512335,0
1501,2000-01-02 07:00:00,24.92773867592022,28.91506849893707,77.13425647216889,60.92330900838914,1
1977,2000-01-02 08:00:00,26.526163116685346,24.559886073932955,71.95450781373263,92.43946838279504,1
1535,2000-01-02 09:00:00,22.269684230839456,20.451539901176307,50.39502697249586,34.57024521517928,0
1455,2000-01-02 10:00:00,23.223177002705732,21.433003064543747,42.99815019979448,33.33080730174962,0
1511,2000-01-02 11:00:00,24.686709016350314,19.83154070928945,56.8139693300434,73.01306307660276,1
1803,2000-01-02 12:00:00,29.79306829098819,27.34764788898348,76.16851180203066,66.30121922905768,1
1440,2000-01-02 13:00:00,15.411239197107559,18.283940789289584,38.88056920296576,42.84941568096362,0
1428,2000-01-02 14:00:00,21.809448813986382,22.03045411579976,60.48730784797854,58.7064533532307,1
1148,2000-01-02 15:00:00,23.418777316944137,29.39964951105693,89.21460087309077,65.88810284007364,1
1877,2000-01-02 16:00:00,26.934477311096078,26.14705098653142,64.57924002074897,55.81733954803186,1
1321,2000-01-02 17:00:00,21.75924877212872,21.26795301021856,69.65295957828062,75.5015639887305,1
1546,2000-01-02 18:00:00,22.78520964428624,25.302096828309693,67.988270988018,58.01142253493972,1
1121,2000-01-02 19:00:00,22.031925279548297,29.65102036856916,78.33569911763705,70.96912656631866,1
1106,2000-01-02 20:00:00,20.408088840498486,22.70727118775311,41.822184935165026,30.333266499400956,0
1621,2000-01-02 21:00:00,28.787815169807683,30.884729301874252,67.18547177942249,79.7339068283353,1
1210,2000-01-02 22:00:00,21.576135229125413,19.113003063367707,40.64269677392319,61.27629999890313,0
1764,2000-01-02 23:00:00,21.527240238434153,16.723675883924358,43.09386350055168,62.24849288427717,0
1617,2000-01-03 00:00:00,18.791829898395992,23.160517999389494,63.06328709482799,82.36960751866945,1
1897,2000-01-03 01:00:00,24.76221907086143,28.520074968287908,74.74746737862483,63.7013696771495,1
1015,2000-01-03 02:00:00,26.160948030681986,23.325193775436013,75.98309659632967,59.88456932562562,1
1720,2000-01-03 03:00:00,14.597031911355417,19.16264971381946,34.46841135939044,58.7177990826482,0
1316,2000-01-03 04:00:00,23.772520777452275,18.22162232842341,25.00318062972859,34.222500247857276,0
1549,2000-01-03 05:00:00,29.02806639399259,22.27829803406017,64.75415952840503,67.97947295821696,1
1964,2000-01-03 06:00:00,25.903458193176046,23.102837672498254,51.66178130832469,29.551881536947157,0
1432,2000-01-03 07:00:00,24.47912822852305,19.390254619656453,46.496484110247586,42.432687430566105,0
